Dot centers and radii:
631: -166.277 82.35 1.375
632: -159.349 78.35 1.375
633: -166.277 74.35 1.375
634: -159.349 70.35 1.375
635: -166.277 66.35 1.375
636: -159.349 62.35 1.375
637: -166.277 58.35 1.375
638: -159.349 54.35 1.375
639: -166.277 50.35 1.375
640: -159.349 46.35 1.375
641: -166.277 42.35 1.375
642: -159.349 38.35 1.375
643: -166.277 34.35 1.375
644: -159.349 30.35 1.375
645: -166.277 26.35 1.375
646: -159.349 22.35 1.375
647: -166.277 18.35 1.375
648: -159.349 14.35 1.375
649: -166.277 10.35 1.375
650: -159.349 6.35 1.375
651: -166.277 2.35 1.375
652: -159.349 -1.65 1.375
653: -166.277 -5.65 1.375
654: -159.349 -9.65 1.375
655: -166.277 -13.65 1.375
656: -159.349 -17.65 1.375
657: -166.277 -21.65 1.375
658: -159.349 -25.65 1.375
659: -166.277 -29.65 1.375
660: -159.349 -33.65 1.375
661: -166.277 -37.65 1.375
662: -159.349 -41.65 1.375
663: -166.277 -45.65 1.375
664: -159.349 -49.65 1.375
665: -166.277 -53.65 1.375
666: -159.349 -57.65 1.375
667: -166.277 -61.65 1.375
668: -159.349 -65.65 1.375
669: -166.277 -69.65 1.375
670: -159.349 -73.65 1.375
671: -166.277 -77.65 1.375
672: -159.349 -81.65 1.375
673: -166.277 -85.65 1.375
674: -159.349 -89.65 1.375
675: -166.277 -93.65 1.375
676: -159.349 -97.65 1.375
677: -166.277 -101.65 1.375
678: -159.349 -105.65 1.375
679: -166.277 -109.65 1.375
680: -159.349 -113.65 1.375
681: -166.277 -117.65 1.375
682: -159.349 -121.65 1.375
683: -166.277 -125.65 1.375
684: -159.349 -129.65 1.375
685: -173.205 102.35 1.375
686: -180.133 98.35 1.375
687: -173.205 94.35 1.375
688: -180.133 90.35 1.375
689: -173.205 86.35 1.375
690: -180.133 82.35 1.375
691: -173.205 78.35 1.375
692: -180.133 74.35 1.375
693: -173.205 70.35 1.375
694: -180.133 66.35 1.375
695: -173.205 62.35 1.375
